checklist_item_id,checklist_item,category,maps_to_standard,standard_edition_year,relevant_clause_or_area,evidence_artifact_required,portability_tier_relevance,required_artifact_kinds
"1","Purpose","now","(none)","n/a","n/a","docs/spec.md section 1","U0-U4","spec"
"2","Target users","now","(none)","n/a","n/a","docs/spec.md section 2","U0-U4","spec"
"3","Use cases","now","IEEE 1012","2024","V&V concept of operations","docs/spec.md section 3","U0-U4","spec"
"4","Non-goals","now","(none)","n/a","n/a","docs/spec.md section 4","U0-U4","spec"
"5","Portability tier (U0-U4)","now","IEEE 1685","2022","vendor extensions / componentParameters","docs/spec.md section 5 + IP-XACT tier tag","U0-U4","spec;ip-xact"
"6","Interface","now","IEEE 1685","2022","busInterfaces / abstractionDefinition","docs/spec.md section 6 + ipxact/component.xml","U0-U4","spec;ip-xact"
"6","Interface","now","Accellera SystemRDL","2.0 (Jan 2018)","register interface description","docs/spec.md section 6 + ipxact/component.xml","U0-U4","spec;ip-xact"
"7","Parameters","now","IEEE 1685","2022","componentParameters","docs/spec.md section 7 + RTL parameters","U0-U4","spec"
"7","Parameters","now","IEEE 1364 / IEEE 1800","2005 / 2023","parameter declarations","docs/spec.md section 7 + RTL parameters","U0-U4","spec"
"8","Architecture","now","IEEE 1012","2024","design description adjacent process","docs/spec.md section 8 + block diagram","U0-U4","spec"
"9","Datapath / control FSM","now","IEEE 1364","2001 subset","procedural blocks and FSM coding","docs/spec.md section 9 + FSM diagram","U0-U4","spec"
"9","Datapath / control FSM","now","lowRISC Verilog Style Guide","continuous","FSM style","docs/spec.md section 9 + FSM diagram","U0-U4","spec"
"10","Reset / clock / CDC behaviour","now","CDC/RDC methodology","no single IEEE/ISO standard","Cummings SNUG 2008, vendor CDC guides, Accellera CDC/RDC 1.0","docs/spec.md section 10 + CDC notes","U0-U4","spec"
"11","Protocol semantics","now","IEEE 1685","2022","abstractionDefinition","docs/spec.md section 11 + timing diagrams","U0-U4","spec"
"12","Error / status / counter behaviour","now","Accellera SystemRDL","2.0 (Jan 2018)","field/register semantics","docs/spec.md section 12 + regs.rdl","U0-U4","spec;systemrdl"
"12","Error / status / counter behaviour","now","IEEE 1685","2022","register descriptions","docs/spec.md section 12 + regs.rdl","U0-U4","spec;systemrdl"
"13","Timing and latency","now","Vendor datasheet conventions","continuous","AMD PGxxx / Intel UG-xxxxx style latency tables","docs/spec.md section 13 + latency table","U0-U4","spec"
"14","Corner cases","now","IEEE 1012","2024","V&V activities","docs/spec.md section 14","U0-U4","spec"
"15","Simulation plan","now","IEEE 1800.2","2020","UVM","sim/README.md + test plan","U0-U4","simulation-plan"
"15","Simulation plan","now","IEEE 1800","2023","SVA","sim/README.md + test plan","U0-U4","simulation-plan"
"15","Simulation plan","now","IEEE 1850","2010","PSL","sim/README.md + test plan","U0-U4","simulation-plan"
"15","Simulation plan","now","ISO/IEC/IEEE 29119","2021-2024","test process/docs/techniques","sim/README.md + test plan","U0-U4","simulation-plan"
"16","Formal verification plan","now/foundation","IEEE 1800","2023","SVA","formal/README.md + property files","U0-U2","formal-plan"
"16","Formal verification plan","now/foundation","IEEE 1850","2010","PSL","formal/README.md + property files","U0-U2","formal-plan"
"16","Formal verification plan","now/foundation","IEEE 1012","2024","V&V process","formal/README.md + property files","U0-U2","formal-plan"
"17","Synthesis targets","now","IEEE 1364","2001 subset","portable synthesis baseline","synth/results.md","U0-U4","synthesis-report"
"17","Synthesis targets","now","IEEE 1800","2023","restricted synthesis subset","synth/results.md","U0-U4","synthesis-report"
"18","Board demo plan","now","(none)","n/a","n/a","boards/<board>/README.md","U0-U2","board-demo"
"19","Repository structure","now","IEEE 1685","2022","fileSets","repo layout + <core>.core","U0-U4","fusesoc-core"
"19","Repository structure","now","FuseSoC core file","continuous",".core package convention","repo layout + <core>.core","U0-U4","fusesoc-core"
"20","Documentation requirements","now","ISO/IEC/IEEE 26515","2018","user documentation process, informative","docs/datasheet.md","U0-U4","datasheet"
"21","License / provenance notes","now","SPDX License List","pin at release time","license identifiers","LICENSE, NOTICE, SPDX headers","U0-U4","license;spdx-header-audit;spdx-hbom"
"21","License / provenance notes","now","CERN-OHL-2.0 / Apache-2.0 / MIT / BSD-3-Clause","various","license policy","LICENSE, NOTICE, SPDX headers","U0-U4","license;spdx-header-audit;spdx-hbom"
"21","License / provenance notes","now","IEEE 1735","2023","explicitly disallowed unless commercially fenced","LICENSE, NOTICE, SPDX headers","U0-U4","license;spdx-header-audit;spdx-hbom"
"22","Acceptance criteria","now","IEEE 1012","2024","acceptance test activities","docs/acceptance.md + CI evidence","U0-U4","acceptance"
"22","Acceptance criteria","now","ISO/IEC/IEEE 29119-3","2021","test completion report","docs/acceptance.md + CI evidence","U0-U4","acceptance"
"23","Risks and mitigations","now/foundation","ISO 26262-9","2018","ASIL-oriented analyses, forward-looking","docs/risks.md","U0-U4","risks"
"24","IP-XACT packaging + machine-readable metadata","now","IEEE 1685","2022","components, busInterfaces, abstractionDefinition, design, generators","ipxact/<core>.xml","U0-U4","ip-xact"
"25","Register description (single source of truth)","now","Accellera SystemRDL","2.0 (Jan 2018)","field/register/regfile/address map","regs/<core>.rdl","U0-U4","systemrdl"
"25","Register description (single source of truth)","now","IEEE 1800.2","2020","UVM RAL","regs/<core>.rdl","U0-U4","systemrdl"
"26","Power intent (or N/A justification)","foundation","IEEE 1801","2024 (published Mar 2025)","UPF 4.0 power intent","power/<core>.upf or N/A note","U2-U4","upf;power-na"
"27","DFT / test access","foundation","IEEE 1149.1","2013 inactive-reserved / legacy hook","JTAG TAP and boundary scan","dft/<core>.ctl, BSDL fragment, or N/A note","U2-U4","dft;jtag-na"
"27","DFT / test access","foundation","IEEE 1500","2022","embedded core test / CTL","dft/<core>.ctl, BSDL fragment, or N/A note","U2-U4","dft;jtag-na"
"28","Coding-style and lint","now","lowRISC Verilog Style Guide","continuous","RTL style",".verible.rules + lint-clean CI","U0-U4","verible-lint;native-lint"
"28","Coding-style and lint","now","Verible","continuous","lint/format",".verible.rules + lint-clean CI","U0-U4","verible-lint;native-lint"
"28","Coding-style and lint","now","IEEE 1800","2023","restricted subset policy",".verible.rules + lint-clean CI","U0-U4","verible-lint;native-lint"
"29","CI, reproducibility, semantic versioning","now","SemVer","2.0.0","MAJOR.MINOR.PATCH",".github/workflows/*.yml, VERSION, CHANGELOG.md","U0-U4","ci"
"29","CI, reproducibility, semantic versioning","now","ISO/IEC/IEEE 29119-2","2021","test process",".github/workflows/*.yml, VERSION, CHANGELOG.md","U0-U4","ci"
"30","Safety hooks (forward-looking)","foundation","ISO 26262","2018","HW/supporting/semiconductor guidance","safety/safety_manual.md placeholder or populated manual","U0-U4","safety-manual"
"30","Safety hooks (forward-looking)","foundation","IEC 61508-2","2010","SIL hardware requirements","safety/safety_manual.md placeholder or populated manual","U0-U4","safety-manual"
"30","Safety hooks (forward-looking)","foundation","DO-254 / FAA AC 20-152A","2000 / 2020","airborne electronic hardware","safety/safety_manual.md placeholder or populated manual","U0-U4","safety-manual"
"31","Security hooks (forward-looking, actionable now)","foundation","MITRE CWE-1194","CWE List v4.20 (30 Apr 2026)","Hardware Design view","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","NIST IR 8517","13 Nov 2024","hardware security failure scenarios","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","Accellera SA-EDI","1.0 (14 Jul 2021)","IP security annotations","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","IEEE P3164","draft / PAR active","future security annotation standard","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","FIPS 140-3","2019","crypto modules only","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","ISO/IEC 15408","2022","Common Criteria only if evaluated","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"32","HBOM / provenance / SBOM-equivalent","now","SPDX Specification","3.0.1","SBOM/HBOM document format","hbom/<core>.spdx.json or CycloneDX","U0-U4","spdx-hbom;cyclonedx-hbom"
"32","HBOM / provenance / SBOM-equivalent","now","SPDX License List","pin at release time","license expression grammar","hbom/<core>.spdx.json or CycloneDX","U0-U4","spdx-hbom;cyclonedx-hbom"
"32","HBOM / provenance / SBOM-equivalent","now","CycloneDX","continuous","alternative HBOM profile","hbom/<core>.spdx.json or CycloneDX","U0-U4","spdx-hbom;cyclonedx-hbom"
